http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,2358.72,6万+人付款,6万+人付款,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,2358.72,6万+人付款,6万+人付款,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,oppo,2358.72,6万+人付款,6万+人付款,0,0,3
https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/126446588/O1CN01j6RZE31yXMJzNzlq5-126446588.png_460x460q90.jpg_.webp,【测试链接】联想 moto S50 索尼2024全新镜头 新款AI智能手机 金刚品质 联想moto 5G手机 摩托罗拉手机,other,2199.00,2人付款,2人付款,0,0,3
https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1114511827/O1CN010lq5Je1PMoeQqIfio_!!4611686018427386323-0-item_pic.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,8万+人付款,8万+人付款,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/14867192/O1CN01esUwDF22zzXcUIN7G_!!4611686018427386616-2-saturn_solar.png_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2人付款,2人付款,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1904011167/O1CN01MTf1CK1KUXFLOR6MG_!!1904011167.jpg_460x460q90.jpg_.webp,2025新款6.8英寸大屏5G官方正品512GB内存15pro电竞游戏智能手机,other,188.00,12人付款,12人付款,0,0,3
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800+人付款,800+人付款,全部(100+),100,4.0
https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2256022143/O1CN01lPlHKC1RhXoCTH1IE_!!4611686018427382399-2-item_pic.png_460x460q90.jpg_.webp,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,5万+人付款,5万+人付款,全部(5000+),5000,5.0
http://img.alicdn.com/img/i4/3711401049/O1CN01wkTels1JcURqm2ew1_!!3711401049-0-alimamacc.jpg_460x460q90.jpg_.webp,2025年新款/分期免息 P60 Pro 12+512G 新品60 Plus智能手机官方旗舰,other,1399.00,800+人付款,800+人付款,全部(100+),100,4.5
https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2216133057205/O1CN01Q1CvYe235wgxNTDX6_!!2216133057205.jpg_460x460q90.jpg_.webp,荣耀200Pro官网智能5G手机大内存全新未拆华.为畅享70Pro旗舰手机,华为,1179.00,13人付款,13人付款,0,0,3
http://img.alicdn.com/img/i4/2203416413630/O1CN01q1IbuZ1cgaiPOBdQ2_!!2203416413630-0-alimamacc.jpg_460x460q90.jpg_.webp,2025新款/顺丰速发 送豪华礼 P60 Pro 12+512GB新品X60i旗舰5G手机游,other,1348.00,400+人付款,400+人付款,全部(46),46,5.0
无,VIVO X100 Pro 新款系列正品IQOO Neo10官方旗舰官网X200 Pro手机,other,1047.72,29人付款,29人付款,0,0,3
无,【立即抢购】Redmi Note 13 Pro 2亿像素小米红米note13pro小米官方旗舰店手机旗舰智能机,小米,1075.02,1万+人付款,1万+人付款,全部(1000+),1000,5.0
无,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13人付款,13人付款,全部(1),1,4.0
无,【国补立省15%】vivo iQOO Z9 Turbo长续航版新品骁龙学生大电池国补手机专区入口iQOO官方旗舰店,other,1761.02,6000+人付款,6000+人付款,全部(500+),500,5.0
无,新款工厂直销全新正品16G+512G智能手机6.8英寸双卡便宜全网通5G,other,188.00,7人付款,7人付款,0,0,3
无,新品上市15Pro智能手机全网通5G适用于小米官网旗舰Redmi Note13,小米,688.00,8人付款,8人付款,0,0,3
无,当天发!送好礼 新款P50 256GB 5G系列拍照游戏学生老年老人机畅玩50华手机为官方旗舰官网正品店 P50pro,other,888.00,100+人付款,100+人付款,全部(22),22,4.0
无,2025新款6.8英寸大屏官方正品512GB内存15pro大屏电竞游戏智能5G,other,188.00,6人付款,6人付款,0,0,3
无,【政府补贴至高15%】Redmi Note 14 5G手机红米note手机小米手机小米官方旗舰店官网新品小米note14,小米,1025.92,5万+人付款,5万+人付款,0,0,3
无,小/米xiaomi15Pro智能手机全网通5G官方RedmiK80旗舰Note14正品机,小米,688.00,8人付款,8人付款,0,0,3
无,16+512GB大内存智能手机6.8英寸5G全网通大屏游戏安卓便宜百元机,other,188.00,12人付款,12人付款,0,0,3
无,HUAWEI/华为 畅享60S 鸿蒙千元内5G手机,华为,799.00,47人付款,47人付款,0,0,3
无,Huawe/华mAtE70 Pro+2025年鸿蒙新款荣300耀官方旗舰X50 GT手机,other,1058.00,19人付款,19人付款,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,17人付款,17人付款,0,0,3
无,OPPO A3 5G双面抗摔耐磨OLED超亮阳光屏 AI手机百亿补贴官方正品,oppo,932.00,1000+人付款,1000+人付款,全部(90),90,3
无,政府补贴15%叠加优惠380起联想moto S50 Neo纤薄高清双曲屏老人学生手,other,1169.02,5000+人付款,5000+人付款,全部(900+),900,5.0
无,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,1000+人付款,1000+人付款,全部(200+),200,5.0
无,vivo Y36c 新品智能拍照手机大内存长续航l老年机学生机y36c迷制,other,949.00,600+人付款,600+人付款,0,0,3
无,16+512G正品X15全网通5G便宜学生价游戏智能手机百元老人备用安卓,other,175.00,13人付款,13人付款,0,0,3
无,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,4000+人付款,4000+人付款,全部(400+),400,5.0
无,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,other,1499.00,0人付款,0人付款,0,0,5.0
无,新品16GB+1TB 华mAtE 60Pro+新款正品P60官方旗舰Pura70 Pro手机,other,1088.00,24人付款,24人付款,0,0,3
无,工厂直销2025新款智能手机16+512G高清屏6.8寸双卡双待全网通5G,other,188.00,6人付款,6人付款,0,0,3
无,2025新品16+1TB荣耀300pro 官方5G旗舰X50GT智能华p70pro畅享手机,华为,1288.00,12人付款,12人付款,0,0,3
无,【政府补贴15%】iQOO Z9 Turbo 长续航版第三代骁龙8s旗舰芯片6400mAh电池拍照游戏学生性能手机vivo官方正品,other,1761.02,3人付款,3人付款,全部(1),1,5.0
无,原装正品Samsung/三星Galaxy S21+国行S22+Ultra双卡全网通5G手机,other,1283.80,100+人付款,100+人付款,0,0,3
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,22人付款,22人付款,0,0,3
无,【政府补贴15%】HONOR/荣耀GT 新款5G智能手机第三代骁龙8芯片AI魔法修图官网正品手机国补,华为,2129.00,900+人付款,900+人付款,全部(100+),100,5.0
无,【政府补贴15%】Apple/苹果 iPhone 16 手机,other,5199.00,1000+人付款,1000+人付款,全部(100+),100,4.5
无,2025新品上市 新款60系列 12+512GB旗舰5G手机新品X60系列游戏拍照官,other,1448.00,600+人付款,600+人付款,全部(74),74,4.5
无,工厂直销新款正品16G+512G智能手机高清屏双卡全网通5G便宜学生价,other,188.00,3人付款,3人付款,0,0,3
无,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1226.70,1万+人付款,1万+人付款,全部(1000+),1000,3
无,2025新款6.8英寸大屏正品512GB内存5G大屏百元机电竞游戏智能手机,other,188.00,4人付款,4人付款,0,0,3
无,5G新品/当天发！Hi 畅享70 新款5G鸿蒙5000mAh长续航学生老年人华为智选手机官方旗舰店官网正品pro x s,华为,899.00,38人付款,38人付款,全部(11),11,4.0
无,2024年新款vivo S18e手机官方NFC超薄机身拍照像素直播神器,other,1659.82,100+人付款,100+人付款,0,0,3
https://img.alicdn.com/imgextra/i1/1711695481/O1CN01BsaBy81qMLsCksYHT_!!1711695481-0-alimamacc.jpg_460x460q90.jpg_.webp,2025新上市果16Pro max旗舰5G全网通学生Phone官方智能手机正品华,other,658.72,100+人付款,100+人付款,0,0,3
https://gw.alicdn.com/imgextra/O1CN01qIO8mE1m9kW2AT9mg_!!2380534912-0-picasso.jpg_460x460q90.jpg_.webp,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000+人付款,5000+人付款,全部(900+),900,5.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/518238250/O1CN01ojQcQG2AoYa81p60I_!!518238250.png_460x460q90.jpg_.webp,新品16GB+1TB 华mAtE 60Pro+新款正品P60官方旗舰Pura70 Pro手机,other,1088.00,24人付款,24人付款,0,0,3
http://img.alicdn.com/img/i1/6204464555/O1CN01Ky8x0V1jWF7P7kgJE_!!4611686018427387307-0-saturn_solar.jpg_460x460q90.jpg_.webp,【6期免息】Huawei/华为畅享70X华为新款手机数码手机正品官方旗舰店智能手机老人机,华为,1949.00,1000+人付款,1000+人付款,全部(200+),200,5.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01Gjthdf1QnfTG3UFh3_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1449.00,1万+人付款,1万+人付款,0,0,3
http://img.alicdn.com/img/i2/58830335/O1CN01a52F4i1ELTinddBtk_!!4611686018427383295-2-saturn_solar.png_460x460q90.jpg_.webp,5G新品/当天发！Hi 畅享70 新款5G鸿蒙5000mAh长续航学生老年人华为智选手机官方旗舰店官网正品pro x s,华为,899.00,38人付款,38人付款,全部(11),11,4.0
http://img.alicdn.com/img/i1/6204464555/O1CN01hGSx7z1jWF6mJFo99_!!4611686018427387307-0-saturn_solar.jpg_460x460q90.jpg_.webp,【6期免息】Huawei/华为畅享70X华为新款手机数码手机正品官方旗舰店智能手机老人机,华为,1949.00,1000+人付款,1000+人付款,全部(200+),200,5.0
https://gw.alicdn.com/imgextra/O1CN01qIO8mE1m9kW2AT9mg_!!2380534912-0-picasso.jpg_460x460q90.jpg_.webp,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000+人付款,5000+人付款,全部(900+),900,5.0
https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01Gjthdf1QnfTG3UFh3_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1449.00,1万+人付款,1万+人付款,全部(1000+),1000,3
http://img.alicdn.com/img/i1/6204464555/O1CN01Ky8x0V1jWF7P7kgJE_!!4611686018427387307-0-saturn_solar.jpg_460x460q90.jpg_.webp,【6期免息】Huawei/华为畅享70X华为新款手机数码手机正品官方旗舰店智能手机老人机,华为,1949.00,1000+人付款,1000+人付款,全部(200+),200,5.0
https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01Gjthdf1QnfTG3UFh3_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1449.00,1万+人付款,1万+人付款,全部(1000+),1000,3
https://gw.alicdn.com/imgextra/O1CN01qIO8mE1m9kW2AT9mg_!!2380534912-0-picasso.jpg_460x460q90.jpg_.webp,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000+人付款,5000+人付款,全部(900+),900,5.0
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800+人付款,800+人付款,全部(100+),100,4.0
https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2216401396536/O1CN01ZzB4kW1y9Xj0GtUvr_!!2216401396536.jpg_460x460q90.jpg_.webp,工厂直销2025新款智能手机16+512G高清屏6.8寸双卡双待全网通5G,other,188.00,7人付款,7人付款,0,0,3
https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/518238250/O1CN01ojQcQG2AoYa81p60I_!!518238250.png_460x460q90.jpg_.webp,新品16GB+1TB 华mAtE 60Pro+新款正品P60官方旗舰Pura70 Pro手机,other,1088.00,25人付款,25人付款,0,0,3
https://img.alicdn.com/imgextra/i3/2226474156/O1CN01QMSSez1gZV5Ias3B0_!!2226474156-0-alimamacc.jpg_460x460q90.jpg_.webp,HUAWEI/华为 畅享60S 鸿蒙千元内5G手机,华为,799.00,47人付款,47人付款,全部(13),13,5.0
https://gw.alicdn.com/imgextra/O1CN01qIO8mE1m9kW2AT9mg_!!2380534912-0-picasso.jpg_460x460q90.jpg_.webp,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000+人付款,5000+人付款,全部(900+),900,5.0
http://img.alicdn.com/img/i3/14867192/O1CN01MilMfn22zzXe3XWSE_!!4611686018427386616-0-saturn_solar.jpg_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2人付款,2人付款,0,0,4.0
https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2216401396536/O1CN01ArdZUU1y9Xixt5YeY_!!2216401396536.jpg_460x460q90.jpg_.webp,工厂直销新款正品16G+512G智能手机高清屏双卡全网通5G便宜学生价,other,188.00,4人付款,4人付款,0,0,3
http://img.alicdn.com/img/i4/3711401049/O1CN01wkTels1JcURqm2ew1_!!3711401049-0-alimamacc.jpg_460x460q90.jpg_.webp,2025年新款/分期免息 P60 Pro 12+512G 新品60 Plus智能手机官方旗舰,other,1399.00,900+人付款,900+人付款,全部(100+),100,4.5
https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN01Gjthdf1QnfTG3UFh3_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1449.00,1万+人付款,1万+人付款,全部(1000+),1000,3
http://img.alicdn.com/img/i1/131392335/O1CN01elllEc1T7TqX0z77D_!!4611686018427380559-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!送好礼 新款P50 256GB 5G系列拍照游戏学生老年老人机畅玩50华手机为官方旗舰官网正品店 P50pro,other,888.00,100+人付款,100+人付款,全部(22),22,4.0
无,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,8万+人付款,8万+人付款,全部(7000+),7000,5.0
无,新款工厂直销全新正品16G+512G智能手机6.8英寸双卡便宜全网通5G,other,188.00,10人付款,10人付款,0,0,3
无,推荐！华为荣耀 X50 新款旗舰5G曲面屏手机,华为,1228.00,100+人付款,100+人付款,全部(17),17,5.0
无,2025新品16+1TB荣耀300pro 官方5G旗舰X50GT智能华p70pro畅享手机,华为,1288.00,12人付款,12人付款,0,0,3
无,2025新款6.8英寸大屏正品512GB内存5G大屏百元机电竞游戏智能手机,other,188.00,6人付款,6人付款,0,0,3
无,vivo X200 Pro新款Y300耀X50 iqoo Neo10 13手机S20荣X60正品Z9华,vivo,769.03,8人付款,8人付款,0,0,3
无,当天发!新品 小米手机Note14Pro 12+256GB 5G新款拍照游戏红米note14p,小米,999.00,700+人付款,700+人付款,全部(96),96,4.0
无,2025新款智选/华mAtE70 Pro官网Nova13Pro正品畅享 70X旗舰5G手机,other,1047.72,23人付款,23人付款,0,0,3
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,29人付款,29人付款,0,0,3
无,智选/华 mATE 70 Pro+2025款正品未拆鸿蒙Mate60 Pro官方旗舰手机,other,688.00,10人付款,10人付款,0,0,3
无,16+512G正品X15全网通5G便宜学生价游戏智能手机百元老人备用安卓,other,175.00,13人付款,13人付款,0,0,3
无,2025新款/顺丰速发 送豪华礼 P60 Pro 12+512GB新品X60i旗舰5G手机游,other,1348.00,400+人付款,400+人付款,全部(47),47,5.0
无,新品16G+1TB oppo Find N5国补正品一加Ace5Pro官方旗舰13手机A3,oppo,1047.72,28人付款,28人付款,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,9人付款,9人付款,0,0,3
无,vivo X200s大内存旗舰5G手机全新正品vivo iQOO12Pro拍照游戏手机,vivo,1259.00,12人付款,12人付款,0,0,3
无,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13人付款,13人付款,全部(1),1,4.0
无,【政府补贴15%】Apple/苹果 iPhone 16 手机,other,5199.00,1000+人付款,1000+人付款,全部(100+),100,4.5
无,荣耀300官网旗舰手机全网通512G大内存正品华/为Mate70Pro+全新机,华为,1239.00,10人付款,10人付款,0,0,3
无,新品16GB+1TB OPPO  find X8正品国补一加Ace5 Pro官方旗舰手机,oppo,1047.72,28人付款,28人付款,0,0,3
无,HONOR/荣耀300手机智能游戏100W超级快充荣耀绿洲护眼屏百亿补贴,华为,1679.00,4000+人付款,4000+人付款,0,0,3
无,分期免息现货速发豪礼  Redmi Note 14 5G 新款手机红米note14系列官,小米,1049.00,200+人付款,200+人付款,全部(500+),500,4.0
无,HONOR/荣耀X50 GT 智能5G手机骁龙8+满帧战神引擎5800mAh超长续航官方正品游戏手机电竞学生,华为,1599.00,6000+人付款,6000+人付款,全部(700+),700,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,27人付款,27人付款,0,0,3
无,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,4000+人付款,4000+人付款,全部(400+),400,5.0
无,六期免息 现货速发送豪礼Redmi 红米Note 14 Pro手机红米note14pro小,小米,1269.00,400+人付款,400+人付款,全部(100+),100,4.0
无,耀Mat70Pro官方Magic7旗舰X50手机5G全网90GT为政府补贴P60正品华,other,688.00,9人付款,9人付款,0,0,3
无,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,5万+人付款,5万+人付款,全部(5000+),5000,5.0
无,【政府补贴15%】HONOR/荣耀GT 新款5G智能手机第三代骁龙8芯片AI魔法修图官网正品手机国补,华为,2129.00,900+人付款,900+人付款,全部(100+),100,5.0
无,2025新款6.8英寸大屏5G官方正品512GB内存15pro电竞游戏智能手机,other,188.00,25人付款,25人付款,0,0,3
无,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5人付款,5人付款,0,0,5.0
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,11人付款,11人付款,0,0,3
无,【新品上市】OPPO A3i 超硬核抗摔架构学生智能拍照手机百亿补贴,oppo,747.00,400+人付款,400+人付款,全部(26),26,3
无,工厂直销2025新款智能手机16+512G高清屏6.8寸双卡双待全网通5G,other,188.00,6人付款,6人付款,0,0,3
无,【政府补贴15%】iQOO Z9 Turbo 长续航版第三代骁龙8s旗舰芯片6400mAh电池拍照游戏学生性能手机vivo官方正品,vivo,1761.02,3人付款,3人付款,全部(1),1,5.0
无,小米15Pro新品上市官网旗舰手机大内存双卡双待全新红米14Pro手机,小米,1259.00,11人付款,11人付款,0,0,3
http://img.alicdn.com/img/i1/881090092/O1CN01Le2ycf1CYBTjL7wcG_!!4611686018427387436-2-saturn_solar.png_460x460q90.jpg_.webp,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5人付款,5人付款,0,0,5.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01dxhGVa29zGBoPQWlH_!!4611686018427381002-2-item_pic.png_460x460q90.jpg_.webp,【立即抢购】Redmi Note 13 Pro 2亿像素小米红米note13pro小米官方旗舰店手机旗舰智能机,小米,1075.02,1万+人付款,1万+人付款,全部(1000+),1000,5.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01SvE0X61y42yQZWJof_!!4611686018427385292-0-item_pic.jpg_460x460q90.jpg_.webp,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,5万+人看过,5万+人看过,全部(200+),200,5.0
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800+人付款,800+人付款,全部(100+),100,4.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2218300850280/O1CN01IZ0DRc1DwHvsDNxyw_!!2218300850280.jpg_460x460q90.jpg_.webp,2025新款骁龙大屏拍照智能手机游戏学生党专用安卓备用机便宜百元,other,39.99,33人付款,33人付款,0,0,3
无,【政府补贴15%】iQOO Z9 Turbo 长续航版第三代骁龙8s旗舰芯片6400mAh电池拍照游戏学生性能手机vivo官方正品,vivo,1761.02,3人付款,3人付款,全部(1),1,5.0
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,29人付款,29人付款,0,0,3
无,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2人付款,2人付款,0,0,4.0
无,智选/华 Pura70Pro+2025新款大屏鸿蒙P60 Pro官方旗舰畅享70x手机,other,1058.00,11人付款,11人付款,0,0,3
无,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13人付款,13人付款,0,0,3
无,Apple/苹果 iPhone 12 Pro Max苹果12pro国行正品原装5G全网通,other,2030.00,1000+人看过,1000+人看过,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,21人看过,21人看过,0,0,3
无,HUAWEI/华为 畅享60S 鸿蒙千元内5G手机,华为,799.00,47人付款,47人付款,0,0,3
无,2025新款智选/华mAtE70 Pro官网Nova13Pro正品畅享 70X旗舰5G手机,other,1047.72,23人付款,23人付款,全部,,4.3
无,【全新未激活】新款智能手机16+512G高清屏6.8寸双卡双待全网通5G,other,68.00,22人付款,22人付款,0,0,3
无,荣耀100Pro全新智能手机大内存双卡双待官网荣耀200Pro正品旗舰机,华为,698.00,11人付款,11人付款,0,0,3
无,2025新品上市 新款60系列 12+512GB旗舰5G手机新品X60系列游戏拍照官,other,1448.00,600+人付款,600+人付款,全部(74),74,5.0
无,16+512GB大内存智能手机6.8英寸5G全网通大屏游戏安卓便宜百元机,other,188.00,500+人看过,500+人看过,0,0,3
无,【下拉领政府补贴15%】REDMI K80红米k80手机官方旗舰店游戏拍照学生国补智能手机小米手机红米手机redmik80,小米,2458.72,10万+人付款,10万+人付款,全部(20000+),20000,5.0
无,Apple/苹果 iPhone 16国行正品原装6.1英寸分期免息手机5G全网通,other,520.00,4人付款,4人付款,0,0,3
无,vivo X200 Pro新款Y300耀X50 iqoo Neo10 13手机S20荣X60正品Z9华,vivo,769.03,14人看过,14人看过,0,0,3
无,5G新品/当天发！Hi 畅享70 新款5G鸿蒙5000mAh长续航学生老年人华为智选手机官方旗舰店官网正品pro x s,华为,899.00,40人付款,40人付款,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,20人看过,20人看过,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,40人看过,40人看过,0,0,3
无,Huawei/华为 畅享20 Pro全网通5G智能手机学生上网课老人千元备用,华为,346.00,24人付款,24人付款,0,0,3
